選區,姓名,政黨,現任
第1選區,鄭宇恩,民主進步黨,是
第1選區,陳偉杰,中國國民黨,是
第1選區,游明諺,民主進步黨,否
第1選區,陳家琪,中國國民黨,是
第1選區,呂鈞鴻,中國國民黨,否
第2選區,戴翎育,民主進步黨,否
第2選區,張昭隆,無黨籍,否
第2選區,蔡淑君,中國國民黨,是
第2選區,鄭丞宏,中國國民黨,否
第2選區,陳明義,中國國民黨,是
第2選區,蔡佩呈,中國國民黨,否
第2選區,李宇翔,民主進步黨,是
第3選區,翁震州,民主進步黨,是
第3選區,簡麗花,無黨籍,否
第3選區,林秉宥,民主進步黨,是
第3選區,蔣根煌,中國國民黨,是
第3選區,蔡健棠,中國國民黨,是
第3選區,吳奕萱,民主進步黨,否
第3選區,陳岱吟,民主進步黨,否
第3選區,王珮宇,中國國民黨,否
第3選區,陳世軒,台灣民眾黨,是
第3選區,甘崇緯,台灣綠黨,否
第3選區,蕭夙玲,親民黨,否
第3選區,陳茂嘉,無黨籍,否
第4選區,李翁月娥,無黨籍,是
第4選區,黃桂蘭,中國國民黨,是
第4選區,彭佳芸,民主進步黨,是
第4選區,陳彥廷,台灣民眾黨,否
第4選區,王威元,中國國民黨,是
第4選區,李余典,民主進步黨,是
第4選區,陳俊維,民主進步黨,否
第4選區,李倩萍,民主進步黨,是
第4選區,董俊良,無黨籍,否
第4選區,顏蔚慈,民主進步黨,是
第4選區,邱婷蔚,民主進步黨,是
第4選區,陳東雲,無黨籍,否
第4選區,蔡政呈,中國國民黨,否
第4選區,劉成謙,親民黨,否
第4選區,陳宛毓,小民參政歐巴桑聯盟,否
第4選區,許宏平,台聯黨,否
第4選區,蕭告,無黨籍,否
第5選區,李昆穎,民主進步黨,否
第5選區,劉美芳,中國國民黨,是
第5選區,戴瑋姍,民主進步黨,是
第5選區,黃淑君,民主進步黨,是
第5選區,鄧凱勛,中國國民黨,否
第5選區,陳俊諺,民主進步黨,否
第5選區,山田摩衣,民主進步黨,是
第5選區,林國春,中國國民黨,是
第5選區,曾煥嘉,中國國民黨,是
第5選區,林子宇,台灣民眾黨,否
第5選區,周韋翰,中國國民黨,否
第5選區,黃淑珍,司法改革黨,否
第6選區,張維倩,民主進步黨,是
第6選區,張志豪,民主進步黨,否
第6選區,金瑞龍,中國國民黨,是
第6選區,林達,無黨籍,否
第6選區,陳怡君,台灣民眾黨,否
第6選區,張嘉玲,民主進步黨,是
第6選區,邱烽堯,中國國民黨,是
第6選區,游輝宂,中國國民黨,是
第6選區,陳錦錠,中國國民黨,是
第7選區,羅文崇,民主進步黨,否
第7選區,陳以樂,中國國民黨,否
第7選區,許昭興,民主進步黨,是
第7選區,陳鴻源,中國國民黨,是
第7選區,蘇昭龍,無黨籍,否
第8選區,高乃芸,民主進步黨,否
第8選區,廖宜琨,民主進步黨,是
第8選區,吳亞倫,台灣民眾黨,否
第8選區,卓冠廷,民主進步黨,是
第8選區,吳昇翰,民主進步黨,否
第8選區,彭一書,民主進步黨,是
第8選區,呂家愷,中國國民黨,是
第8選區,蘇泓欽,無黨籍,是
第8選區,黃永昌,中國國民黨,是
第8選區,林金結,中國國民黨,是
第8選區,洪佳君,中國國民黨,是
第8選區,陳膺涵,愛民黨,否
第9選區,張柏詠,無黨籍,否
第9選區,邸聖德,台灣民眾黨,否
第9選區,張佑輔,台灣綠黨,否
第9選區,陳乃瑜,民主進步黨,是
第9選區,黃心華,中國國民黨,是
第9選區,陳韋任,民主進步黨,否
第9選區,游皓麟,中國國民黨,否
第9選區,劉哲彰,中國國民黨,是
第9選區,陳儀君,中國國民黨,是
第10選區,林裔綺,民主進步黨,是
第10選區,林正峰,中國國民黨,否
第11選區,張錦豪,民主進步黨,是
第11選區,陳語倢,台灣民眾黨,否
第11選區,陳竹音,勞動黨,否
第11選區,蔡美華,民主進步黨,否
第11選區,劉財鑫,無黨籍,否
第11選區,白珮茹,中國國民黨,是
第11選區,何元楷,中國國民黨,否
第11選區,黃瑞傳,無黨籍,否
第11選區,郭書成,無黨籍,否
第12選區,忠仁．達祿斯,無黨籍,否
第12選區,吳國譽 La．Is．Amid,中國國民黨,否
第12選區,蘇錦雄 Paylang．Caya,民主進步黨,是
第12選區,楊春妹,中國國民黨,是
第12選區,宋雨蓁 Nikar．Falong,無黨籍,是
第12選區,吳建智咖啡哥,親民黨,否
第12選區,連祐崧,無黨籍,否
第13選區,何應明,中國國民黨,否
第13選區,布落．馬信,民主進步黨,否
第13選區,王珍珍,無黨籍,否
第13選區,馬見 Lahuy．Ipin,無黨籍,是
第13選區,林啟明,親民黨,否
第13選區,羅美菁,無黨籍,否
